taxon_ids,user_supplied_name,submitted_name,matched_name,data_source_title,score
Fulmarus glacialis,Fulmarus glacialis,Fulmarus glacialis,Fulmarus glacialis,NCBI,0.988
"Gyps ,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus",Gyps ,Gyps,Gyps,Catalogue of Life,0.75
"Gyps ,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus",Gyps rueppellii,Gyps rueppellii,Gyps rueppellii,NCBI,0.988
"Gyps ,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus",Gyps africanus,Gyps africanus,Gyps africanus,NCBI,0.988
"Gyps ,Gyps rueppellii,Gyps africanus,Necrosyrtes monachus",Necrosyrtes monachus,Necrosyrtes monachus,Necrosyrtes monachus,NCBI,0.988
Antilocapra americana,Antilocapra americana,Antilocapra americana,Antilocapra americana,NCBI,0.988
"Dendroica coronata,Seiurus noveboracensis,Vireo olivaceus",Dendroica coronata,Dendroica coronata,Dendroica coronata,Freebase,0.988
"Dendroica coronata,Seiurus noveboracensis,Vireo olivaceus",Seiurus noveboracensis,Seiurus noveboracensis,Seiurus noveboracensis,AnAge,0.988
"Dendroica coronata,Seiurus noveboracensis,Vireo olivaceus",Vireo olivaceus,Vireo olivaceus,Vireo olivaceus,NCBI,0.988
Parkesia noveboracensis,Parkesia noveboracensis,Parkesia noveboracensis,Parkesia noveboracensis,NCBI,0.988
Branta hutchinsii,Branta hutchinsii,Branta hutchinsii,Branta hutchinsii,NCBI,0.988
Didelphis virginiana,Didelphis virginiana,Didelphis virginiana,Didelphis virginiana,NCBI,0.988
Prionace glauca,Prionace glauca,Prionace glauca,Prionace glauca,NCBI,0.988
Nyctalus lasiopterus,Nyctalus lasiopterus,Nyctalus lasiopterus,Nyctalus lasiopterus,NCBI,0.988
Myotis sodalis,Myotis sodalis,Myotis sodalis,Myotis sodalis,NCBI,0.988
"Aquila chrysaetos,Haliaeetus leucocephalus,Pandion haliaetus,Falco peregrinus,Asio flammeus",Aquila chrysaetos,Aquila chrysaetos,Aquila chrysaetos,NCBI,0.988
"Aquila chrysaetos,Haliaeetus leucocephalus,Pandion haliaetus,Falco peregrinus,Asio flammeus",Haliaeetus leucocephalus,Haliaeetus leucocephalus,Haliaeetus leucocephalus,NCBI,0.988
"Aquila chrysaetos,Haliaeetus leucocephalus,Pandion haliaetus,Falco peregrinus,Asio flammeus",Pandion haliaetus,Pandion haliaetus,Pandion haliaetus,NCBI,0.988
"Aquila chrysaetos,Haliaeetus leucocephalus,Pandion haliaetus,Falco peregrinus,Asio flammeus",Falco peregrinus,Falco peregrinus,Falco peregrinus,NCBI,0.988
"Aquila chrysaetos,Haliaeetus leucocephalus,Pandion haliaetus,Falco peregrinus,Asio flammeus",Asio flammeus,Asio flammeus,Asio flammeus,NCBI,0.988
Carcharhinus longimanus,Carcharhinus longimanus,Carcharhinus longimanus,Carcharhinus longimanus,NCBI,0.988
"Oceanodroma furcata,Oceanodroma castro,Hydrobates ",Oceanodroma furcata,Oceanodroma furcata,Oceanodroma furcata,Freebase,0.988
"Oceanodroma furcata,Oceanodroma castro,Hydrobates ",Oceanodroma castro,Oceanodroma castro,Oceanodroma castro,Freebase,0.988
